著作id,出版著作名称,著作类别,ISBN号,编辑,出版时间,总字数（万字）,国家/地区,语种,出版社,全文地址,署名单位,归属二级单位编码,归属二级单位名称,其他署名单位,成员信息,校内成员账号
1490,半导体工艺与测试实验,教材,978-7-03-043646-7,,2015-03-01,23.2,中国,中文,科学出版社,,中山大学,,,,谢德英（005834）、陈晖（110179）、黄展云（119207）、陈军（004927）,004927
1491,全球史视野下的海洋文明与科技文明,编著,9787520342469,,2019-08-01,25.4,,,中国社会科学出版社,,中山大学,,,,王玖玖（220549）,220549
1492,基础有机化学,教材,978-7-04-051629-6,汪波,2019-06-01,65.0,中国,中文,高等教育出版社,,中山大学,,,,汪波（005379）、彭爱云（040084）、黄志纾（004595）,005379、004595
1493,金融发展与经济增长关系的国际经验研究,专著,9787504948335,,2008-11-01,20.5,,,中国金融出版社,,中山大学,,,,张志文（006263）,006263
1494,广州湾租借地（下卷）,译著,9787566819673,,2017-12-31,50.0,,,暨南大学出版社,,中山大学,,,,郭丽娜（006120）,006120
1495,体验式教学理念下的高校体育教学研究,专著,978-7-5692-7116-4,,2020-09-10,17.0,中国,中文,吉林大学出版社,,中山大学,,,,陈亚金（006177）,006177
1496,公民社会的计划与挑战,教材,9788937457272,,2016-04-29,10.0,韩国,外文,首尔：民音社,,中山大学,,,,Jun-Hyeok Kwak（160019）,160019
1497,李春生著作集,编著,957-638-630-6,,2004-08-01,126.0,中国台湾,中文,南天书局,,其他,,,中研院文哲所,黎汉基（030149）,030149
1498,大学英语（上册）,教材,ISBN 978-7-301-05106-1,,2009-08-01,21.3,,,北京大学出版社,,,,,,王哲（005979）、于莹,005979
1499,海洋观测技术,编著,978-7-306-06597-1,,2019-09-01,32.0,中国,中文,中山大学出版社,,中山大学,,,,任杰（030121）,030121
1500,护理学研究方法,教材,978-7-117-25984-2/R.25985,,2018-03-01,85.3,,,人民卫生出版社,,中山大学,,,,刘可（019606）,019606
1501,中药猴耳环抗耐药菌药效及作用机制研究,专著,978-7-306-07134-7,,2021-03-01,32.2,,,中山大学出版社,,中山大学,,,,苏薇薇（006654）、刘翀（98034001）、李沛波（040101）、吴灏（207079）、饶鸿宇,006654、040101
1502,2018年创新驱动——广东再创辉煌,专著,978-7-5203-6216-0,,2020-03-31,16.6,,,中国社会科学出版社,,中山大学,,,,李新春（006107）、杨永福（030035）、陈景信（196096）,006107
1503,大学生体育教程,教材,978-7-5639-5034-8,,2017-06-21,35.0,,,北京工业大学出版社,,,,,,周才（006721）,006721
1504,旅游心理学,教材,978-7-5675-5013-1,,2016-10-01,32.4,中国,中文,华东师范大学出版社,,中山大学,40000.0,旅游学院,,陈钢华（150167）,150167
1505,社会资本、机会开发与新创企业绩效关系研究,专著,978-7-5058-7863-1,,2009-02-01,19.0,中国,中文,经济科学出版社,,中山大学,14000.0,管理学院（创业学院）,,朱仁宏（006543）,006543
1506,坚持与发展：社会主义先进文化研究,专著,978-7-5201-7100-7,,2020-07-30,26.5,中国,中文,社会科学文献出版社,,中山大学,17000.0,新闻传播学院,,李辉（005419）、欧阳永忠（005750）、葛彬超（120190）,005419、005750、120190
1507,广东财政改革四十年,专著,978-7-5203-3456-3,,2018-10-01,29.6,中国,中文,中国社会科学出版社,,中山大学,,,,林江（004124）,004124
1508,广州社会保障改革发展报告（2017）,编著,9787010186818,,2018-01-01,33.4,,,人民出版社,,中山大学,,,,岳经纶（040072）、黄远飞,040072
1509,大洋洲发展报告2018-2019,编著,9787521065013,,2020-05-01,31.9,,中文,社科文献出版社,,中山大学,,,,费晟（120247）、沈予加（177453）,120247
1510,从生活到小说,译著,978-7-300-25052-6,,2017-12-31,16.8,中国,中文,中国人民大学出版社,,中山大学,15000.0,外国语学院,,郑岩芳（006039）、冯芃芃（006205）,006205
1511,智,专著,978-7-5080-9792-3,,2020-06-15,19.1,,,华夏出版社,,中山大学,,,,王堃（170334）,170334
1512,卫生法学,教材,9787040563122,,2020-12-29,50.0,,中文,高等教育出版社,,中山大学,51000.0,公共卫生学院,,胡汝为（080117）,080117
1513,国家性质与政府功能,专著,978-7-01-019391-5,,2019-01-01,38.0,,,人民出版社,,中山大学,,,,朱富强（020031）,020031
1514,非热电弧等离子体技术与应用,专著,9787122216656,,2015-01-01,25.3,,中文,化学工业出版社,,中山大学,,,,杜长明（060181）,060181
1515,PASS检验功效和样本量,编著,978-7-121-40296-8,,2021-01-31,62.1,,,电子工业出版社,,其他,,,无,李志辉、刘日辉、刘汉江、陈新林、杜志成（220562）、冯文如、何燕红、李骁、李欣、李樱红、陆家海（030172）、马少宾、王华、薛允莲、叶诏炜、赵绝伦,220562、030172
1516,什么是性别史,译著,978-7-301-30721-2,,2020-01-01,15.3,,,北京大学出版社,,中山大学,,,,曹鸿（130266）,130266
1517,测度与概率教程,教材,978-7-03-059871-4,,2018-12-01,37.0,,中文,科学出版社,,中山大学,34000.0,数学学院,,任佳刚（030014）、巫静（130237）,030014、130237
1518,大学生足球理论与实践,教材,978-7-306-06662-6,,2019-08-01,36.0,,,中山大学出版社,,,,,,张晓宇（006382）,006382
1519,"Hydrogen Storage: Preparation, Applications and Technology",专著,978-1-53614-220-4,,2018-07-02,0.0,,外文,中山大学,,中山大学,,,,李光琴（160025）,160025
1520,全球空间与“一带一路”研究（文化卷）,专著,978-7-5613-7310-1,,2016-12-31,25.6,,,陕西师范大学出版社,,,,,,詹小美（005150）,005150
1521,意向性与因果性,专著,978-7-5201-6131-2,,2020-03-01,21.0,,中文,社科文献出版社,,中山大学,25000.0,马克思主义学院,,李珍（120191）,120191
1522,人人可懂的量子计算,译著,9787111646686,,2020-03-01,10.4,,中文,机械工业出版社,,中山大学,67000.0,计算机学院（软件学院）,,邱道文（020165）、周旭（17110885）、萧利刚（17341170）、林一诺（16337151）、朱祎康（16337339）,020165
1523,循证医疗卫生决策与管理,教材,978-7-117-26224-8,,2018-05-01,47.4,中国,中文,人民卫生出版社,,中山大学,,,,黄奕祥（015250）,015250
1524,近古文章与文体学研究,专著,978-7-5361-6896-1,,2020-10-22,35.3,中国,中文,广东高等教育出版社,,中山大学,,,,吴承学（004805）,004805
1525,走向后经学时代,专著,978-7-306-06990-0,,2020-10-01,24.0,,,中山大学出版社,,中山大学,,,,陈少明（000250）,000250
1526,中国古代文学史,教材,978-7-04-050109-4,,2018-12-01,54.0,中国,中文,高等教育出版社,,中山大学,,,,董上德（001267）,001267
1527,《岭南大学图书馆藏书研究》,专著,978-7-218-11551-1,,2018-09-01,30.0,,,广东人民出版社,,中山大学,,,,周旖（120238）,120238
1528,老年护理学（第4版）,教材,978-7-117-24065-9/R.24066,,2017-07-20,35.0,,,人民卫生出版社,,,,,,化前珍、胡秀英、颜君（019608）,019608
1529,高校篮球教练员素养与科学化管理研究,专著,978-7-5674-2063-2,邹玉铎,2020-01-11,30.0,,中文,东北林业大学出版社,,中山大学,,,,邹玉铎（180071）,180071
1530,规训、自知力与自我救赎,编著,978－7－224－13505－3,,2020-04-01,30.0,中国,中文,陕西人民出版社,,中山大学,,,,杨玉昌（006422）,006422
1531,跨文化哲学中的当代儒学,编著,978-986-04-4900-6,,2015-04-01,12.0,中国台湾,中文,台湾中央研究院中国文哲研究所,,,,,,陈玮芬、廖钦彬（150013）,150013
1532,中国特色小镇研究报告（2019）,编著,978-7-5201-4328-8,,2019-03-01,30.0,中国,中文,社会科学文献出版社,,中山大学,,,,余构雄（186731）、曾国军（050149）,050149
1533,《作为听者的华兹华斯》,专著,978-7-301-29388-1,,2018-04-15,32.0,,中文,北京大学出版社,,中山大学,15000.0,外国语学院,,朱玉（150165）,150165
1534,修订本《南齐书》（平装版）,编著,9787101139761,,2019-08-01,75.0,,,中华书局,,中山大学,,,,景蜀慧（020023）、周文俊（220544）、洪绵绵（197078）,220544
1535,菲律宾南海仲裁案核心问题法理分析,编著,978-962-04-3522-5,,2018-12-31,35.0,,,三联书店（香港）有限公司,,,,,,黄瑶（005020）、黄靖文,005020
1536,华洋变形的不同世界,专著,9787208160842,,2019-10-01,28.0,中国,中文,上海人民出版社,,,,,,陈喆（120125）、关晓红（030010）、桑兵、肖清和、叶雨薇、吴智刚、曾荣、余露、张晓川、曾作铭,120125
1537,海洋科学认识实习,教材,978-7-306-06935-1,,2020-10-01,19.0,,,中山大学出版社,,中山大学,,,,刘欢（120148）,120148
1538,变化环境下南方湿润区水文模拟与响应,专著,978-7-5170-6195-3,,2017-12-30,26.2,,,中国水利水电出版社,,,,,,林凯荣（070140）,070140
1539,赤旗百年--马克思主义中国化研究学术史,专著,9787218130354,,2018-12-01,321060.0,,,广东人民出版社,,中山大学,,,,周全华（006265）、吴炜（006921）,006921
1540,电动汽车智能电池管理系统技术,专著,9787111632283,,2019-08-01,21.3,,中文,机械工业出版社,,中山大学,76160.0,智能工程学院,,谭晓军（050124）,050124
1541,高乡与低乡：11-16世纪江南区域历史地理研究,专著,9787108052261,,2015-07-01,36.0,,,三联书店,,中山大学,,,,谢湜（090026）,090026
1542,弗雷格：语言哲学,译著,9787100150378,,2017-09-01,62.0,,中文,商务印书馆,,,,,,黄敏（050112）,050112
1543,经济法概论（第四版）,教材,9787300282701,,2020-07-01,38.6,中国,中文,中国人民大学出版社,,中山大学,,,,李正华（005277）、丁春燕,005277
1544,管理沟通,教材,7302495696,,2018-05-01,53.6,,,清华大学出版社,,中山大学,,,,朱仁宏（006543）,006543
1545,广东植物鉴定技巧,教材,978-7-03-062795-7,,2019-12-01,75.0,中国,中文,科学出版社,,中山大学,,,,廖文波（005302）、叶华谷（167130）、凡强（070144）、刘蔚秋（005797）、石祥刚（030104）、赵万义（217026）,005302、070144、005797
1546,粤港澳大湾区旅游形象研究,专著,9787520163860,,2021-05-24,16.0,,中文,高等教育出版社,,中山大学,40000.0,旅游学院,,曾国军（050149）、朱明洋（186311）、卡欣妮亚·基里洛娃、李力东、徐雨晨（18110710）,050149
1547,结构方程模型: 贝叶斯方法,译著,978-7-04-031968-2,,2011-08-01,50.0,,,高等教育出版社,,中山大学,,,,蔡敬衡（100137）、潘俊豪（090033）、周影辉（106607）,100137、090033
1548,大型文献数字化项目的信息组织,专著,978-7-5013-6872-3,,2020-11-01,35.0,,,国家图书馆出版社,,中山大学,,,,宋琳琳（130311）,130311
1549,Competence-Oriented Task-Based Learning Approach to Medical Dual-Role Interpreter Training,专著,"1522593098, 9781522593096",,2019-12-01,20.0,美国,外文,IGI Global,,中山大学,,,,郭聪（230506）、杨承淑、张昆松（091048）、匡铭（812085）,230506
1550,基础化学实验,教材,978-7-306-06220-8,,2017-12-31,15.0,中国,中文,中山大学出版社,,中山大学,,,,韩东梅（120312）、宋树芹（060059）、Océane GEWIRTZ（109419）、Arnaud Martin（137022）、黄希哲（080156）,120312、060059
1551,信息素养通识教程,教材,978-7-04-051544-2,,2019-04-08,20.0,,中文,高等教育出版社,,中山大学,20000.0,信息管理学院,,潘燕桃（004645）、肖鹏（190516）、张靖（080120）、余维杰（140261）、王晗（079122）、孟召坤（196035）,004645、190516、080120、140261
1552,主题公园开发与管理,教材,9787568910682,,2019-03-01,39.6,中国,中文,重庆大学出版社,,中山大学,40000.0,旅游学院,,梁增贤（120265）,120265
1553,超宽带冲激雷达技术与应用,专著,978-7-118-11950-3,,2019-12-01,41.8,中国,中文,国防工业出版社,,中山大学,,,,袁雪林（190336）,190336
1554,商务英语口语(21世纪经济管理精品教材)/工商管理系列,教材,9787302302629,,2013-01-01,39.8,中国,外文,清华大学出版社,,中山大学,,,,朱仁宏（006543）,006543
1555,广东省义务教育质量指标体系研究身心发展水平报告,编著,978-7-5361-5886-3,,2017-11-15,59.6,,,广东高等教育出版社,,中山大学,,,,张璐斐（006604）、徐淑芹（130332）、柳媛（006266）,006604、130332、006266
1556,国家与市场：明清食盐贸易研究,专著,978-7-101-13709-5,,2019-06-01,25.8,中国,中文,中华书局,,中山大学,,,,黄国信（005305）,005305
1557,Expressing the Self: Cultural Diversity and Cognitive Universals,编著,978-0-19-878665-8,,2018-03-01,15.0,英国,外文,牛津大学出版社,,中山大学,,,,黄敏瑶（200544）、Kasia M. Jaszczolt,200544
1558,资讯管理研究,编著,978-7-306-03282-9,,2009-04-09,42.0,,,中山大学出版社,,中山大学,,,,肖永英（005771）、潘燕桃（004645）、陈定权（030084）、路永和（020034）,004645、030084、020034
1559,殷海光思想研究：由五四到战后台湾，1919–1969,专著,957-09-1333-9,,2000-09-01,27.6,中国台湾,中文,正中书局,,中山大学,,,,黎汉基（030149）,030149
1560,红楼四论,专著,978-7-5473-1503-3,,2019-09-01,5.3,,,东方出版中心,,中山大学,,,,胡传吉（100133）,100133
1561,经济法概论（第二版）,教材,9787300141862,,2012-01-01,42.8,中国,中文,中国人民大学出版社,,中山大学,,,,李正华（005277）、丁春燕,005277
1562,当代小说十论,专著,978-7-5329-5364-6,,2017-04-01,23.0,,,山东文艺出版社,,中山大学,,,,谢有顺（060026）,060026
1563,壁立千仞——澹归与《遍行堂集》学术研讨会论文集,编著,9787306065902,,2019-04-01,37.0,,,中山大学出版社,,中山大学,,,,杨权（004073）,004073
1564,"Toward deep neural networks : WASD neuronet models, algorithms, and applications",专著,9781138387034,,2019-03-01,16.0,美国,外文,Boca Raton: Chapman and Hall/CRC (Taylor & Francis Ltd),https://doi.org/10.1201/9780429426445,中山大学,,,,张雨浓（060009）、陈德潮、叶成旭,060009
1565,旅游伦理学,译著,9787100175470,,2020-11-09,20.0,,,商务印书馆,,中山大学,,,,余晓娟（120321）,120321
1566,体育教学多元化教学理念研究,编著,978-7-5692-5598-0,,2019-07-01,34.0,,,吉林大学出版社,,,,,,张晓宇（006382）,006382
1567,无人无缆潜水器技术,编著,978731320651,,2018-12-01,74.0,中国,中文,上海交通大学出版社,,,,,,姜大鹏（180100）,180100
1568,今文选·社科卷,编著,978-7-5171-0887-0,,2015-10-01,31.8,中国,中文,中国言实出版社,,中山大学,,,,刘卫国（006629）、陈淑梅（006405）,006629、006405
1569,高桥亨与韩国儒学研究,译著,978-986-350-087-2,,2015-07-01,25.0,中国台湾,中文,台湾大学出版中心,,中山大学,,,,权纯哲、廖钦彬（150013）,150013
1570,广东省对外开放四十年,专著,978-7-5203-3455-6,,2018-10-10,31.0,,,中国社会科学出版社,,,,,,鲁晓东（080104）,080104
1571,百年传承：中山大学法科学人（1924-1953）,专著,978-7-5216-0563-1,,2019-10-20,31.5,,,中国法制出版社,,,,,,黄瑶（005020）、王薇,005020
1572,区块链原理与技术,教材,978-730-25-6969-5,,2021-03-01,22.0,,,清华大学出版社,,中山大学,,,,郑子彬（140036）、陈伟利（196503）、郑沛霖（13349162）,140036
1573,《当代意识形态论》第一章,专著,978-7-01-017010-7,,2017-08-09,22.0,,,人民出版社,,中山大学,,,,柳媛（006266）,006266
1574,心脑血管药理学,专著,978-7-03-060677-8,,2019-03-01,118.0,,中文,科学出版社,,中山大学,36000.0,药学院,,刘培庆（011093）、李卓明（120280）、路静（200540）,011093、120280、200540
1575,现代旅游消费者行为学,教材,978-7-306-06782-1,,2019-12-01,51.8,中国,中文,中山大学出版社,,中山大学,40000.0,旅游学院,,陈钢华（150167）、孙九霞（050087）,150167、050087
1576,《马丁堂读书散记》,专著,9787550631922,,2020-06-01,15.0,中国,中文,凤凰出版社,,中山大学,,,,姚崇新（006905）,006905
1577,大学英语（下册）,教材,ISBN 978-7-301-16880-6,,2010-01-01,19.1,,,北京大学出版社,,,,,,王哲（005979）、于莹,005979
1578,高星级酒店炫耀性营销研究：企业社会责任的新探索,专著,978-7-5218-0209-2,,2019-06-30,20.0,,,经济科学出版社会,,中山大学,,,,谢礼珊（004472）,004472
1579,《宝宝未来早知道——人类遗传的奥秘》,编著,7-81048-454-0,,2000-09-01,35.7,中国,中文,河南医科大学出版社,,中山大学,50000.0,中山医学院,,郭奕斌（011005）,011005
1580,致力于绿色发展的城乡建设——绿色增长与城乡建设,编著,978-7-112-23942-9,,2019-11-01,11.8,中国,中文,中国建筑工业出版社,,其他,,,,梁勤、李郇（005078）、林澎,005078
1581,从群众到公众：中国受众研究的话语变迁,专著,978751153503,,2016-05-06,28.6,,,人民日报出版社,,中山大学,,,,徐桂权（140226）,140226
1582,离散数学基础,编著,9787302576679,,2021-04-20,71.4,中国,中文,清华大学出版社,,中山大学,,,,周晓聪（005875）、乔海燕（040190）,005875、040190
1583,国际赛事体育展示运营管理与实施,专著,978-7-5454-5946-3,,2020-06-30,10.0,,,广东经济出版社,,中山大学,,,,肖红（100175）、周小青,100175
1584,预防医学学习指导与习题集,教材,978-7-117-28284-0,,2019-04-01,39.4,,,人民卫生出版社,,,,,,杨燕（050190）,050190
1585,美容与化妆,编著,978-7-5184-2372-9,,2019-03-01,20.0,中国,中文,中国轻工业出版社,,其他,,,湖南女子学院,肖宇强、李宁利（006254）,006254
1586,音乐综艺节目发展历程及趋势探究,专著,978-7-306-07062-3,,2020-11-01,18.8,,中文,中山大学出版社,,中山大学,71010.0,艺术学院,,金婷婷（170121）,170121
1587,海洋生态学实验,教材,978-7-306-06708-1,,2019-12-27,10.0,中国,中文,中山大学出版社,,中山大学,,,,何蕾（110141）、殷克东（100035）,110141、100035
1588,流行病学,教材,978-7-5680-5010-4,,2019-05-04,383000.0,,中文,华中科技大学出版社,,中山大学,,,,徐琳（160232）,160232
1589,医学统计学,教材,978-7-5679-1038-6,,2018-07-01,70.0,中国,中文,中国协和医科大学出版社,,中山大学,51000.0,公共卫生学院,,李济宾（183511）、张晋昕（030031）,030031
1590,量子有限自动机：等价性和最小化,专著,9787308151993,,2019-06-30,15.3,,中文,浙江大学出版社,,中山大学,67000.0,计算机学院（软件学院）,,李绿周（110147）、邱道文（020165）,110147、020165
1591,中国新闻业年度观察报告（2019）,编著,9787511562029,,2019-10-19,30.0,中国,中文,人民日报出版社,,中山大学,17000.0,新闻传播学院,,张志安（110015）、徐桂权（140226）,140226
1592,南岭自然保护区天井山植被志,编著,9787030652171,,2020-06-30,20.1,中国,,科学出版社,,中山大学,,,,周婷（130301）,130301
1593,百年家书——习之堂藏传统家书大家书精品百种,编著,978－7－5462－3034－4,,2020-08-01,25.0,,,广州出版社,,中山大学,,,,周春健（090062）,090062
1594,话说鸡血藤-一位从平凡走向神奇的中药,编著,978-988-78559-9-6,,2019-11-01,10.0,,,灵兰阁中医药文化公司,,其他,,,香港大学,杨得坡（006147）,006147
1595,生物系统的随机动力学,专著,978-703-025055-1,,2009-08-06,41.0,中国,,科学出版社,,中山大学,,,,周天寿（040051）,040051
1596,"Supramolecular Catalysts：Design, Fabrication, and Applications",专著,978-981-121-779-1,,2020-05-01,12.0,,外文,World Scientific Publishing Co Pte Ltd,,中山大学,,,,张利（100037）、苏成勇（006373）,100037、006373
1597,图书情报专业硕士培养研究与实践,编著,978-7-5201-5969-2,,2020-03-01,37.0,中国,中文,社会科学文献出版社.人文分社,,中山大学,,,,张靖（080120）、周旖（120238）、陈定权（030084）,080120、120238、030084
1598,宗主国倾向和本土意识----以维·苏·奈保尔及其作品分析为例,专著,978-7-5624-5769-5,,2010-12-01,8.0,中国,中文,重庆大学出版社,,中山大学,,,,雷艳妮（006725）,006725
1599,红色星球,译著,9787111654254,,2020-09-01,11.0,,中文,机械工业出版社,,其他,,,无,吴晓姝（200316）,200316
1600,Metal-organic frameworks,专著,978-0-12-816906-3,,2020-01-01,15.0,荷兰,外文,Elsevier,,中山大学,31000.0,化学学院,,李攻科（005061）、夏凌（177268）、董建伟（16110350）、陈彦龙（17110381）、李艳霞（18110398）,005061
1601,卫生学学习指导与习题集,教材,9787117276535,,2018-11-01,52.5,,,人民卫生出版社,,中山大学,,,,肖勇梅（014042）,014042
1602,微处理器设计：架构、电路及实现,专著,978-7-5088-5622-3,,2019-08-01,26.0,,,科学出版社,,,,,,虞志益（150014）、曾晓洋、魏少军,150014
1603,《我国高等院校体育教学研究》,专著,978-7-5677-7622-7,,2016-08-01,10.0,中国,中文,长春吉林大学出版社,,中山大学,,,,彭伟群（005995）,005995
1604,基础血液学,专著,9787030611802,,2019-06-19,85.0,,中文,科学出版社,,其他,,,中国科学院,张擎（006129）,006129
1605,法国外交部档案馆藏1919-1922年留法勤工俭学文献,编著,9787507760538,,2020-12-31,15.0,,,学苑出版社,,中山大学,,,,郭丽娜（006120）,006120
1606,结构证明论,教材,9787030616012,,2019-06-01,33.2,,,科学出版社,,中山大学,,,,马明辉（160251）,160251
1607,天然气水合物运聚体系 : 理论、方法与实践,专著,978-7-5337-7417-2,,2020-09-01,35.0,中国,中文,安徽科学技术出版社,,中山大学,,,,吴能友、苏明（160222）,160222
1608,国际私法学,专著,978-7-04-048214-0,,2017-08-01,55.0,中国,中文,高等教育出版社,,中山大学,,,,谢石松（004979）,004979
1609,《白门柳》的历史原型与文学想象,专著,978-7-5598-2900-9,,2020-06-30,32.2,中国,中文,广西师范大学出版社,,中山大学,,,,刘卫国（006629）,006629
1610,《菲律宾蓝皮书：菲律宾发展报告（2019-2020）》,编著,978-7-5201-7280-6,,2020-10-14,35.0,,中文,社科文献出版社,,中山大学,65100.0,国际关系学院,,张宇权（006886）,006886
1611,鲁拜集,译著,978-7-306-06196-6,,2017-10-10,3.0,中国,中文,中山大学出版社,,中山大学,,,,曾记（120227）,120227
1612,2016年中文古籍整理与版本目录学国际学术研讨会论文集,编著,9787559806833,,2018-06-01,86.0,,,广西师范大学出版社,,,,,,程焕文（001372）、沈津、王蕾（050130）、张琦（080148）,001372
1613,孙中山史事编年（第五卷）,专著,9787101124590,,2017-08-20,40.0,中国,中文,中华书局,,中山大学,,,,陈喆（120125）、李欣荣（120127）、李源,120125、120127
1614,高职体育与健康,教材,978-7-115-51812-5,,2019-09-01,36.4,,,人民邮电出版社,,其他,,,广州城市职业学院,范美丽、李长振、容云、王守力（180311）、唐永辉、谢雨锦,180311
1615,结晶学与矿物实验,教材,978-7-306-06289-5,,2019-02-01,0.0,中国,中文,中山大学出版社,,中山大学,,,,徐莉（090098）、梁业恒、付宇（180343）,090098、180343
1616,Handbook of Medical Statistics,专著,978-981-3148-95-6,,2018-08-15,60.0,新加坡,外文,World Scientific,,中山大学,,,,张晋昕（030031）、赵志、薛允莲（06212978）、陈梓聪、马兴华、周倩（131157）,030031
1617,Air Pollution-Monitoring Modelling and Health,编著,978-953-51-0424-7,董光辉,2012-03-16,70.0,中国,外文,InTech,,中山大学,,,,董光辉（140011）,140011
1618,细菌耐药危机下的挑战与对策—专家视角,编著,978-7-117-28636-7,,2019-07-04,50.0,,中文,人民卫生出版社,,中山大学,42000.0,海洋科学学院,,夏照帆、沈建忠、何建国、黄志坚（020088）,020088
1619,专业基础医学汉语-解剖与组胚篇篇,教材,978-7-301-28179-6,,2017-03-01,21.6,,中文,北京大学出版社,,中山大学,,,,莫秀英（012006）、邓淑兰（012063）,012063
1620,《作为“知识”的近代佛学史论——在东亚视域内的知识史论述》,专著,978-7-100-17183-0,,2019-06-05,37.0,,,商务印书馆,,中山大学,,,,龚隽（020002）,020002
1621,广东行政管理体制改革40年,专著,978-7-306-06502,,2018-12-16,35.0,,,中山大字出版社,,中山大学,,,,陈天祥（004799）,004799
1622,发热呼吸道症候群病原学监测与检测技术,专著,978-7-306-05908-6,,2017-05-01,52.0,中国,中文,中山大学出版社,,中山大学,,,,黎孟枫（8190008）、任丽丽、余宏杰、邵祝军、曹开源（014180）、谢正德、吴爱武、朱勋（120232）、何振健（150146）、田寒（210568）、蔡俊超（130260）、吴珏珩（012097）、袁洁（060130）、管洪宇（091007）、徐霖（011077）,150146
1623,Schubert calculus and its applications in Combinatorics and Representation Theory,编著,978-981-15-7451-1,李长征,2020-11-01,9.0,,外文,Springer,https://www.springer.com/gp/book/9789811574504#aboutBook,中山大学,,,,胡建勋（005889）、李长征（160242）、Leonardo C. Mihalcea,005889、160242
1624,成为小说家,专著,978-7-5378-5338-5,,2018-01-01,12.0,,,北岳文艺出版社,,中山大学,,,,谢有顺（060026）,060026
1625,《数字治理评论》第二辑,编著,978-7-5201-3477-4,,2018-12-15,15.2,,,中国社科文献出版社,,中山大学,,,,郑跃平（150195）,150195
1626,出土战国文献字词集释,专著,978-7-101-13125-3,,2018-12-01,1133.4,,中文,中华书局,,,,,,曾宪通（110082）、陈伟武、田炜、禤健聪、裴大泉、林志强、陈送文、石小力、杨泽生、范常喜、秦晓华、陈斯鹏、陈鸿,110082
1627,网球运动探究与运用,专著,978-7-5022-8243-1,,2017-07-28,44.3,,,中国原子能出版社,,,,,,周才（006721）,006721
1628,药理学,教材,978-7-5679-1097-3,,2018-10-01,60.0,,,中国协和医科大学出版社,,中山大学,,,,钟国平（013035）,013035
1629,情绪与动机,编著,978-7-5656-3364-5,,2017-07-30,60.9,,,首都师范大学出版社,,中山大学,,,,黄敏儿（020013）,020013
1630,王阳明万物一体论：从身-体的立场看（修订版）,专著,978-7-5402-5040-9,,2018-06-08,27.2,,,北京燕山出版社,,,,,,陈立胜（004914）,004914
1631,中国现代文学读本,教材,9787306058133,,2017-05-15,55.0,,,中山大学出版社,,,,,,陈淑梅（006405）,006405
1632,河湖底泥处理处置与资源化利用技术,专著,978-7-5111-3475-2,,2017-12-01,26.0,中国,中文,中国环境出版集团 北京,,,,,,张依章、曹英杰（150012）、陶明、唐颖栋,150012
1633,后现代主义哲学与抑郁症治疗,专著,978－7－5203－3864－6,,2019-02-01,41.8,中国,中文,中国社会科学出版社,,中山大学,,,,杨玉昌（006422）,006422
1634,文化价值论,编著,978-7-5491-1992-9,,2019-05-30,21.0,,,南方日报出版社,,中山大学,,,,林伟健、王仕民（005730）,005730
1635,中国新闻业年度观察报告.2017,编著,9787511550910,,2017-11-01,30.0,,,人民日报出版社,,,,,,张志安（110015）、徐桂权（140226）,140226
1636,非常的建构,专著,987-7-218-14237-1,陈希,2020-04-01,32.0,中国,中文,广东人民出版社,,中山大学,,,,陈希（020081）,020081
1637,电池管理系统深度理论研究,专著,9787306048394,,2014-04-01,28.0,,中文,中山大学出版社,,中山大学,76160.0,智能工程学院,,谭晓军（050124）,050124
1638,博弈、认知与理性,专著,978-7-03-064612-5,,2020-03-01,20.0,,,科学出版社,,中山大学,,,,崔建英（120230）,120230
1639,笛卡尔与现象学：马里翁访华演讲集,编著,978-7-108-06818-7,,2020-08-01,24.0,,,北京三联书店,,中山大学,,,,方向红（140045）,140045
1640,Academic Research in East Asia ：A Special Issue on Antilanguage in Memory of M.A.K Halliday,编著,2519-3392,,2019-04-10,12.0,,,台湾玄奘大学社会科学院,,中山大学,,,,丁建新（020131）,020131
1641,卫生学,教材,978-7-5659-0759-3,,2013-12-28,77.6,,,北京大学医学出版社,,中山大学,,,,黄奕祥（015250）,015250
1642,生物节律与行为,专著,978-7-118-11749-3,,2019-01-15,32.5,,,国防工业出版社,,,,,,郭金虎（100011）,100011
1643,"Novel Nanomaterials for Biomedical, Energy and Environmental Applications",专著,978-0-12-814497-8,,2018-12-01,36.0,荷兰,外文,Elsevier,,中山大学,76190.0,生物医学工程学院,,易长青（110003）,110003
1644,入圣之机：王阳明致良知工夫论研究,专著,978-7-108-06377-9,,2019-02-01,32.9,,,北京三联书店,,,,,,陈立胜（004914）,004914
1645,《全球健康研究方法》,教材,978-7-117-25627-8,,2018-03-01,50.0,中国,中文,人民卫生出版社,,中山大学,,,,郝元涛（014178）、陈心广、丁元林、袁兆康、孙强、郝春（140031）、顾菁（110079）,140031、110079
1646,基于员工嵌入性视角的组织创造力研究,专著,9787030512543,,2016-12-15,20.0,中国,,科学出版社,,中山大学,,,,彭建平（006290）,006290
1647,解码生命（第二版）第18章,编著,9787030663955,,2020-12-01,100.0,中国,中文,科学出版社（中国）,,中山大学,,,,梁普平（180340）、支胜尧（13335234）、陈昱僖（217139）、孙宏伟、曹天埼（14335006）、黄军就（110182）,180340、110182
