其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
2094,政府购买服务之三元主体关系论辩——以广佛都市圈实践经验为例,专著,2020-02-01,社会学与人类学学院,丁瑜（120135）、陈永杰（080071）、黄思敏,120135、080071
2095,第四代核能系统与钠冷快堆概论,教材,2018-01-01,,成松柏（150029）、王丽（140160）、张婷,150029
2096,（国际人才英语） 国才考试备考全攻略·高翻交传,教材,2018-11-01,外国语学院,詹成（170195）,170195
2097,西方经济学学说史——思想的源与流,专著,2018-01-01,,朱富强（020031）,020031
2098,唐诗三百首（评注本）,编著,2020-04-01,,谢有顺（060026）,060026
2099,分析化学实验,教材,2011-01-01,,肖小华（050184）,050184
2100,近60年来中国公共图书馆思想研究（1949-2009）,专著,2011-04-09,,潘燕桃（004645）,004645
2101,近代东西思想交流中的跨文化现象,译著,2018-10-01,,金凤珍、藤田正胜、上原麻有子、田中久文、廖钦彬（150013）,150013
2102,未完成的现代性,专著,2019-06-01,,胡传吉（100133）,100133
2103,在合法与违法之间：国内法领域法律规避现象的实证研究,专著,2015-10-15,法学院（知识产权学院、中英国际海事法学院）,董淳锷（120151）,120151
2104,《粤港澳大湾区科技创新研究——宏观比较微观实证与个案分析》,编著,2019-10-01,粤港澳发展研究院,李小瑛（120250）、刘夕洲（17210014）、李晋灵（17210012）、蒋秋祎（17210010）、陈嘉玲（18110001）,120250
2105,医院按病种与病组分值付费基础理论与应用,专著,2019-06-30,,周民伟、赖永洪、袁勇、陈维维、段成惠、彭传薇、熊莺（811096）、丁昕炜、牛启润、尹劲峰、孙茜、汤洁芬、杜剑亮、杨凌、何攀、余莹、辛子艺（141208）、陈彩霞、陈朝阳、张武军（811108）、林佩珊、周小雕、洪伊敏、胡占生、姚惠东、贺婷、高轶、贾洪波、贾继斌、梁健、程岚、赖伏虎、赖红梅、谭卉妍、魏汉波（101008）,811096、811108
2106,广东经济发展四十年,专著,2018-10-01,,才国伟（080105）,080105
2107,医学信息学概论,教材,2015-07-01,,杨名经、刘燕（9170111）、杜珠英、周毅（014179）、高园园、吕庆文、许强、齐惠颖、罗海琼、刘哲星、周怡、刘伟、刘翰腾（111119）、彭柳芬,014179
2108,海洋科学综合实习,教材,2020-09-01,,张恒（140256）、任杰（030121）,140256、030121
2109,明清孤本戏曲选本丛刊（第一辑）,编著,2017-03-15,,陈志勇（130083）,130083
2110,中大旅游评论2017,编著,2018-05-01,,张骁鸣（060139）、孙九霞（050087）,060139、050087
2111,实变函数论教程,编著,2017-05-20,,杨力华（006347）,006347
2112,26.	《工程力学》（第二版）,教材,2015-12-31,,谢燕（199645）,199645
2113,海洋化学实验,教材,2018-05-31,海洋科学学院,石贵勇（020080）、杨颖（150147）、黄希哲（080156）,150147
2114,中国法律史,教材,2019-08-01,,马作武（005917）,005917
2115,信息资源共享（面向21世纪课程教材）,教材,2004-07-08,,程焕文（001372）、潘燕桃（004645）、林明（006803）,001372、004645、006803
2116,明代广东寺观田产研究,专著,2019-07-31,,任建敏（190559）,190559
2117,汕头近代城市地图集,编著,2020-10-01,,谢湜（090026）、陈嘉顺、欧阳琳浩（216185）,090026
2118,海洋动物学实验,编著,2019-01-01,海洋科学学院,黄志坚（020088）、宁曦（130344）,020088
2119,心血管病理生理学,专著,2020-08-01,中山医学院,谭红梅（011013）,011013
2120,体育微格教学（第二版）,教材,2019-08-01,,施小菊、陈海春、张璐斐（006604）、荆纯祥、黄宇星、罗平、徐嘉凯、陶敏、张华光、刘莲玉、徐建新、李海兰、张鑫建、吴少勇、陈雅雯,006604
2121,文献保护与修复,编著,2012-03-01,,邱蔚晴（020120）,020120
2122,中国广州：海上丝绸之路发祥地,专著,2017-09-01,,江滢河（006680）、高文平（004108）,006680、004108
2123,基因表达调控系统的定量分析,专著,2019-08-08,,周天寿（040051）,040051
2124,同感与人格：埃迪·施泰因的交互主体性现象学研究,专著,2020-06-01,,郁欣（130153）,130153
2125,律师实务,教材,2019-05-01,,李正华（005277）、丁春燕,005277
2126,历史和空间视角的经济增长与地区趋同,专著,2013-04-30,,罗浩（080021）,080021
2127,定密理论与实务,教材,2020-08-01,,曹树金（004206）、韦景竹（060093）、宋琳琳（130311）,060093、130311
2128,经济法概论（第三版）,教材,2015-07-01,,李正华（005277）、丁春燕,005277
2129,清代藏书思想研究,专著,2013-07-01,,王蕾（050130）,050130
2130,高校“直通直达”迎新模式新探索,专著,2016-06-01,,杨德胜（014033）、毛水榕（120176）、苗超（140104）、李琳玮（160312）、陈保瑜（130196）,014033、120176、140104、160312、130196
2131,Ambient Backscatter Communication Networks,专著,2020-04-30,,Dinh Thai Hoang、Dusit Niyato、Dong In Kim、Nguyen Van Huynh、龚世民（190050）,190050
2132,"Gel Chemistry (Interactions, Structures and Properties)",专著,2018-02-01,,张建勇（060019）,060019
2133,现代医学统计学,专著,2015-06-06,,张晋昕（030031）、张熙、薛允莲、赵志,030031
2134,《临床分子诊断学》,编著,2012-07-01,中山医学院,郭奕斌（011005）,011005
2135,大洋洲蓝皮书-大洋洲发展报告（2015-2016）,编著,2016-11-01,,喻常森（005116）、常晨光（004571）、王学东（040120）,004571、040120
2136,致力于绿色发展的城乡建设——美好环境与幸福生活共同缔造,编著,2019-11-01,,钟兴国、李郇（005078）、朱耀根,005078
2137,中国宪法事例研究,编著,2018-01-15,法学院（知识产权学院、中英国际海事法学院）,孙莹（140229）,140229
2138,Late-Stage Fluorination of Bioactive Molecules and Biologically-Relevant Substrates,专著,2019-10-08,,周磊（110022）、Devire ddy Anand,110022
2139,全国高等学校城乡规划学科专业竞赛作品集萃（第一辑）：社会调查（中山大学作品集）,编著,2020-03-01,,林琳（004179）、刘云刚、袁媛（020022）,004179、020022
2140,Haskell函数式程序设计,译著,2016-03-01,,乔海燕（040190）,040190
2141,Multimodal Analytics for Next-Generation Big Data Technologies and Applications,编著,2019-07-19,,饶洋辉（140254）、Haoran Xie、Fu Lee Wang、Leonard K. M. Poon、朱恩东（14353435）,140254
2142,全国卫生专业技术资格考试习题集丛书《2019全科医学精选习题集》,编著,2019-03-01,,王家骥、杜庆锋、任菁菁、王皓翔（150178）、徐海军,150178
2143,东莞东城民俗志——人类学的透视,专著,2020-06-01,,张振江（004034）、林香（130309）,004034、130309
2144,李锦全文集,编著,2020-10-01,,杨海文（006527）,006527
2145,协作系统观的企业理论——基于协调机制演化的分析,专著,2016-08-08,,朱富强（020031）,020031
2146,社会工作职业化与发展型社会工作建构,专著,2020-05-31,政治与公共事务管理学院,李棉管（190107）、王皎、陆雪玉,190107
2147,算法设计与与应用,译著,2017-11-01,,乔海燕（040190）、李悫炜（14348055）、王烁程（14350047）,040190
2148,医学微生物学实验指导,教材,2017-02-01,,徐霖（011077）、刘超（110153）、朱勋（120232）、周俊梅（014194）、晏辉钧（014186）、赖小敏（014031）、蔡俊超（130260）,011077、110153、120232、014194、014186、014031、130260
2149,医学统计学与  SPSS软件应用,编著,2008-08-15,,王彤、余红梅、陈长生、张晋昕（030031）,030031
2150,术语相似度计算方法研究,专著,2012-10-10,,徐健（030086）,030086
2151,华丽逸事：哈丽特？洛笔下的澳门,译著,2019-12-01,,周湘（006535）、廖伟杰,006535
2152,同一健康与新发传染病,译著,2019-05-24,,陆家海（030172）,030172
2153,基础化学实验,教材,2008-01-15,,刘汉标（000653）、石建新（006614）、邹小勇（004951）,006614、004951
2154,近代日本の中国学（近代日本的中国学）,编著,2018-09-01,,廖钦彬（150013）、高木智见,150013
2155,基础化学实验（第二版）,教材,2015-06-15,,李厚金（020133）、石建新（006614）、邹小勇（004951）,020133、006614、004951
2156,调查研究方法与分析,专著,2016-12-15,,万崇华、许传志、常巍、肖俊辉、张晋昕（030031）、李英利、李济宾（183511）、郭艳（120024）,030031
2157,阿拉伯人眼中的中国,专著,2020-11-12,国际翻译学院,马妍哲（090105）,090105
2158,无机化学实验（第四版）,教材,2019-06-15,,石建新（006614）、巢晖（006703）,006614、006703
2159,国际私法入门笔记,教材,2019-05-01,,王承志（050162）,050162
2160,收益管理与定价战略,教材,2018-08-01,,曾国军（050149）,050149
2161,等离子体净化有机废气技术,专著,2017-12-01,,杜长明（060181）,060181
2162,逻辑与罪,译著,2007-09-01,,黄敏（050112）,050112
2163,广东省健康服务业发展研究报告,编著,2019-04-01,,黄奕祥（015250）,015250
2164,慈善组织透明度指标构建与应用,编著,2019-08-01,,陈舒、周如南（120259）、顾江霞,120259
2165,公益传播,教材,2019-04-01,,周如南（120259）,120259
2166,《经学通论》辨证：以皮锡瑞《春秋》改制思想为讨论起点,专著,2020-10-30,政治与公共事务管理学院,黎汉基（030149）,030149
2167,广陈皮及新会柑普茶质量与保健功效研究,专著,2020-06-01,,苏薇薇（006654）、郑玉莹（196540）、彭维（069063）,006654
2168,组织学与胚胎学学习指导与习题集（第4版）,教材,2018-12-01,,朱永红（012023）,012023
2169,给孩子讲宇宙,专著,2017-08-18,,李淼、王爽（180376）,180376
2170,Human Physiology,教材,2020-09-01,,李春凌（120013）,120013
2171,认知心理学——心智、研究与生活,译著,2020-12-01,心理学系,张明、岳珍珠（110164）,110164
2172,《立法评论》第2卷,编著,2019-03-21,法学院（知识产权学院、中英国际海事法学院）,刘诚（050161）,050161
2173,企业内部控制：理论与实践,教材,2018-08-01,,林斌（006471）,006471
2174,电子病历技术与应用,专著,2017-05-01,,李小华、李华才、周毅（014179）、严静东、陈联忠、龙武、庆斌、赵霞、杨眉、鲁冰青,014179
2175,环境与全球健康,教材,2016-09-08,,董光辉（140011）,140011
2176,《知识之锚——从语境原则到语境主义知识论》,专著,2014-03-01,,黄敏（050112）,050112
2177,2018中国中篇小说年选,编著,2019-01-01,,谢有顺（060026）,060026
2178,天云地网织新城--智慧城市的建设、管理、运行,专著,2015-07-01,,胡建国（100170）,100170
2179,信息检索通用教程（普通高等教育“十一五”国家级规划教材）,教材,2009-01-08,,潘燕桃（004645）、陈定权（030084）、邱蔚晴（020120）,004645、030084、020120
2180,Chapter 2. Titanium-Based Chiral Lewis Acids (pages 27–57),专著,2017-06-30,,汪君（130023）、冯小明,130023
2181,临床研究方法学,专著,2020-11-15,,李济宾（183511）、张晋昕（030031）、洪明晃（860172）,030031、860172
2182,"Modality, Semantics and Interpretations,",编著,2015-09-01,,刘虎（060062）,060062
2183,神奇的姜黄素：姜黄素应用于肿瘤防治中的最新研究,专著,2020-01-28,,许东晖（005562）、梅雪婷（006391）,005562
2184,《英国后现代主义小说论》,专著,2019-09-01,,王桃花（170196）,170196
2185,高等学校军事课教程,教材,2013-07-06,,古添雄（015244）,015244
2186,空气污染与健康,编著,2015-12-15,,董光辉（140011）,140011
2187,《全粤诗》第二十五册,编著,2019-05-01,,杨权（004073）,004073
2188,区域慈善指数体系构建与应用：基于G市数据的实证分析,编著,2019-05-19,,周如南（120259）,120259
2189,叶恭绰全集,编著,2019-06-01,,王卫星（180366）,180366
2190,高等教育、区域创新与经济增长：大学在湾区发展中支撑作用的国际比较研究,专著,2019-10-24,粤港澳发展研究院,许长青（060104）、戚兴华、王捷（217042）,060104
2191,宋史论丛,编著,2020-06-01,,李欣荣（120127）,120127
2192,英汉应用型翻译,教材,2020-01-01,,廖益清（020191）,020191
2193,辑补旧五代史,编著,2021-01-31,,陈智超、罗亮（220501）,220501
2194,医学细胞生物学,教材,2019-08-01,,姚成果（140062）,140062
2195,函数程序设计算法,译著,2020-04-01,,乔海燕（040190）、曾烈康（14348162）,040190
2196,药代动力学实验教程,教材,2017-04-01,药学院,钟国平（013035）、黄民（013096）、金晶（040155）、李嘉丽（120208）、陈江英（119143）、白雪（15110682）、温鼎声（15110684）,013035、013096、040155、120208
2197,未名飞鸿——饶戈平教授从教四十周年纪念文集,编著,2018-01-20,,黄瑶（005020）、陈文学、李赞,005020
2198,愈愚斋磨牙二集：古文字与古文献研究丛稿,专著,2018-06-01,,陈伟武（000253）,000253
2199,羊咩带你叹非遗：广州非物质文化遗产校园读本,编著,2020-12-01,,宋俊华（020067）,020067
2200,病理生理学Pathophysiology,教材,2020-02-01,中山医学院,谭红梅（011013）,011013
2201,人体解剖生理学,教材,2020-12-22,,周丽华（013009）、庞瑞萍（060145）,013009、060145
2202,健康传播学,专著,2019-05-01,,聂静虹（006055）,006055
2203,人类学概论,教材,2019-01-01,,周大鸣（001283）、何明、刘夏蓓、马翀炜、色音、刘志杨（040096）、刘朝晖、范可、杨小柳（060122）、韩俊魁、王越平、程瑜（006545）,040096、060122、006545
2204,大洋洲蓝皮书-大洋洲发展报告（2013-2014）,编著,2014-08-26,,喻常森（005116）、常晨光（004571）、王学东（040120）,004571、040120
2205,海岸动力学实验,教材,2021-05-01,,蔡华阳（150046）、欧素英（006548）、罗向欣（130166）、傅林曦（189606）,150046、130166
2206,黑石顶昆虫图谱,编著,2015-06-30,,张兵兰（140234）、庞虹（006613）,006613
2207,中国医学教育题库,专著,2019-01-01,,向秋玲（060128）,060128
2208,家庭治疗技术,译著,2020-08-01,,王雨吟（140124）,140124
2209,主题公园与城市发展,专著,2019-06-01,旅游学院,梁增贤（120265）,120265
2210,泰国北部的云南人——族群形成、文化适应与历史变迁,专著,2012-10-15,,段颖（120192）,120192
2211,南海常见大型海藻图鉴,编著,2017-12-02,,刘涛、陈伟洲、陈省平（006261）、唐贤明、王海阳、宁曦（130344）、池姗、刘翠、刘娜、李俊（109045）、李悦、张磊、张睿、宋志民、金月梅、徐欣,006261
2212,患者的疾痛故事：基于一所肿瘤医院的现象学研究,专著,2020-05-01,,涂炯（150019）,150019
2213,中国近现代史基本问题与教学,编著,2017-06-01,,詹小美（005150）、陈华,005150
2214,行政的边缘，文化的中心：湖南通道上岩坪寨田野调查报告,编著,2014-10-01,,周大鸣（001283）、余成普（110176）、李陶红（13110266）、申玲玲（13110264）、申建新、冉韧（10316006）、孙润洲（10316018）、刘咏诗（10316011）、李梦璐（10316035）、李董信阳（10316036）、侯紫嫣、马丽、郑谦（12211963）、江牧歌（10316022）、刘梦婷（21213350）、秦思明（10316050）、王醒（10316005）、李怡飞,110176
2215,法医法学,教材,2016-05-01,,王小广（120234）,120234
2216,中国批创思维发展报告（2015）,编著,2016-12-01,,熊明辉、谢耘（110138）,110138
2217,常用中草药图谱2700种,编著,2018-01-01,,徐新军（050007）,050007
2218,社区营养与健康管理,专著,2020-12-15,,陈裕明（014077）,014077
2219,致力于绿色发展的城乡建设——区域与城市群竞争力,编著,2019-11-01,,李郇（005078）,005078
2220,营养与疾病,教材,2019-05-01,,朱惠莲（014108）、陈佩研,014108
2221,国才考试模拟题集·高翻交传,教材,2019-12-01,外国语学院,詹成（170195）,170195
2222,基于5G技术的眼科智能医联网平台建设规范 第2部分：运营规范,标准,2021-09-03,电子与信息工程学院（微电子学院）,林浩添（122506）、林铎儒（222501）、赖伟翊（186811）、项毅帆（20111987）、吴晓航（770812）、曾丹绮（21112231）、尚元君（21217894）、卢锦涛（770565）、陈翔（140060）、王玺钧（180051）,140060、180051
2223,基于5G技术的眼科智能医联网平台建设规范 第1部分：平台架构,标准,2021-09-03,电子与信息工程学院（微电子学院）,林浩添（122506）、林铎儒（222501）、赖伟翊（186811）、项毅帆（20111987）、吴晓航（770812）、曾丹绮（21112231）、尚元君（21217894）、卢锦涛（770565）、陈翔（140060）、王玺钧（180051）,140060、180051
2224,一次性使用脱敏贴,医疗器械注册证书,2003-12-17,,曹维（015169）、俞励平（013046）,013046
2225,电感耦合等离子体质谱分析方法通则,标准,2020-9-29,测试中心,刘洪涛（130328）、吴莉、鲁照玲、梁敏思（130314）、邓宝山、胡忻,130328、130314
2226,WK-2003型健儿贴,医疗器械注册证书,2005-05-10,,曹维（015169）、俞励平（013046）,013046
2227,初级会计资格证,标准,2013-9-17,,刘韵（150138）,150138
2228,国家社会科学基金项目结项证书,标准,2020-7-20,中国语言文学系,黄瓒辉（180063）,180063
2229,模块化正配整体式建筑施工及验收标准,标准,2019-10-01,土木工程学院,刘镇（130148）,130148
2230,老年人居家护理技术规范,标准,2021-08-12,护理学院,方海云、陈妙虹、沈曼璇、林哲欣、李琴、颜君（019608）、张利峰（080062）、饶红英、周瑾、王颖敏、卢少萍、黄巧、何燕娴、李慧娟、胡红英、贾秀萍,019608、080062
2231,失能老年人评估标准,标准,2021-08-12,护理学院,黄师菊（830275）、邹小芳、李慧娟（093099）、张利峰（080062）、阮恒芳（063072）、黄懿炘、李少芳、江雅（830042）、蓝宇涛、陈妙霞（830126）、方海云（815410）、纪玉桂、肖爱祥,830275、093099、080062、063072、830042、830126
2232,人间充质干细胞,标准,2021-01-09,中山医学院,项鹏（030051）、赵同标、郝捷、马爱进、陈小湧（150179）、黄晶（20110829）、傅博强、王莹、周波、纳涛、吴骏、张愚、张勇、魏军、李启沅、胡士军、周家喜、俞君英、吴朝晖、曹佳妮、王磊、祝焕新,030051、150179
2233,公用交流电网稳态电能质量综合指标评估方法,标准,2021-08-27,,李洪鑫、钟庆、王海云、王江涛、郭成、徐群伟、张敏、吴丹岳、肖梁乐、朱明星、卓放、计长安、唐钰政、虞江华、王语洁、周凯、吴耀军、汪颖、刘坤雄、马兴、李平、费骏韬、付青（060077）、姚知洋、张强,060077
2234,民用建筑低压交流配电系统电能质量技术要求,标准,2021-08-27,,汪清、高敏、徐斌、黄炜、李鹏、孙文华、谢炜、易皓、刘朋、李胜辉、常潇、周柯、王启华、张长元、杨波、于瑞、王德涛、朱皓天、何春、陈国栋、王瑞琪、王铁栋、刘晓军、姚东方、许烽、付青（060077）、许中、赵哈、张潇桐,060077
2235,自吸过滤式呼吸防护用品适合性检验颜面分栏,标准,2016-11-04,,陈卫红、张敏、刘跃伟（190022）、余艳艳、史廷明、邢景才、王欣、张恒东、刘钜源,190022
2236,废玻璃有机杂质无水清洗工艺标准（团体标准立项）,标准,2021-09-07,,许振明、阮菊俊（140051）、姚远、马宝全、张旭、李春杰、詹路、唐亚军、秦保家（19110698）、姚梓淳（20213565）、朱洁（20110688）、林觅（21110692）,140051
2237,废玻璃机器人智能分拣技术标准（团体标准立项）,标准,2021-09-07,,许振明、阮菊俊（140051）、姚远、马宝全、张旭、李春杰、詹路、唐亚军、姚梓淳（20213565）、秦保家（19110698）、朱洁（20110688）、林觅（21110692）,140051
2238,婴幼儿托育服务规范,标准,2019-09-28,公共卫生学院,孙伟文、金宇（014122）、徐宁、崔晓雷、李明汉、冯荔雯、周慧轶、叶亦芃、王顺连、丘毅清、黄克明、彭金波、蔡鑫、蔡冰心、陈丽华、王莉、何树宇、刘进、刘前、刘娟、梁艳清、赵美荣、方小平、陈书昆、叶国洪、关琋镁、梁淑敏、张宗帅,014122
2239,早期教育（发展）机构管理规范,标准,2019-08-28,公共卫生学院,孙伟文、金宇（014122）、徐宁、罗阳、李明汉、冯荔雯、周慧轶、刘育民、叶亦芃、王顺连、丘毅清、黄克明、彭金波、蔡鑫、蔡冰心、陈丽华、王莉、赵美荣、陈小红、陈书昆、叶国洪、关琋镁、梁淑敏、张宗帅,014122
2240,中国皮划艇协会皮划艇二级教练员证书,标准,2020-07-24,,赵云雷（180305）,180305
2241,中国赛艇协会陆上赛艇教练员证书,标准,2020-07-24,,赵云雷（180305）,180305
2242,德庆广佛手产地初加工技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、刘琼玮、刘翠红、胡文军、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、梁文恒、黎艳君,006147、050007、120282
2243,德庆广佛手采收技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、黄涵签、刘琼玮、胡文军、刘翠红、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、梁文恒、钟楚婷、黎艳君,006147、050007、120282
2244,德庆广佛手种植技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、黄涵签、刘琼玮、胡文军、刘翠红、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、梁文恒、钟楚婷、黎艳君,006147、050007、120282
2245,德庆广佛手种苗繁育技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、刘琼玮、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、黎艳君、梁文恒、钟楚婷,006147、050007、120282
2246,德庆肉桂采收技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、钟楚婷、胡文军、刘翠红、范会云、黄涵签、黎润发、黄意成、邓强、陈卫明、高宏华、刘琼玮、梁文恒、黎艳君,006147、050007、120282
2247,德庆肉桂种植技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、杨得坡（006147）、黄勇、张伟丽、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、钟楚婷、胡文军、刘翠红、范会云、黄涵签、黎润发、黄意成、邓强、陈卫明、高宏华、刘琼玮、梁文恒、黎艳君,006147、050007、120282
2248,德庆肉桂种苗繁育技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、杨得坡（006147）、黄勇、张伟丽、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、钟楚婷、胡文军、刘翠红、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、梁文恒、刘琼玮、黎艳君,006147、050007、120282
2249,德庆何首乌产地初加工技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、刘琼玮、梁文恒、李关英、黎艳君,006147、050007、120282
2250,德庆何首乌采收技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、刘琼玮、梁文恒、黎艳君,006147、050007、120282
2251,德庆何首乌种植技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、黄勇、张伟丽、杨得坡（006147）、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、范会云、黄涵签、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、刘琼玮、梁文恒、李关英、黎艳君,006147、050007、120282
2252,德庆何首乌种苗繁育技术规程,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、李关英、钟楚婷、刘琼玮、梁文恒、黎艳君,006147、050007、120282
2253,德庆巴戟产地初加工技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、梁文恒、胡文军、刘翠红、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、刘琼玮、黎艳君,006147、050007、120282
2254,德庆巴戟采收技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、张伟丽、杨得坡（006147）、黄勇、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、胡文军、刘翠红、梁文恒、黄涵签、范会云、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、刘琼玮、黎艳君,006147、050007、120282
2255,德庆巴戟种苗繁育技术规程,标准,2019-12-19,药学院,黎阳新、曾庆钱、杨得坡（006147）、黄勇、张伟丽、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、梁文恒、胡文军、刘翠红、范会云、黄涵签、黎润发、黄意成、邓强、陈卫明、高宏华、刘琼玮、钟楚婷、黎艳君,006147、050007、120282
2256,德庆巴戟种植技术规范,标准,2019-12-19,药学院,黎阳新、曾庆钱、杨得坡（006147）、黄勇、张伟丽、丁平、徐新军（050007）、赵志敏（120282）、刘凤民、黎润南、梁木强、梁文恒、胡文军、刘翠红、范会云、黄涵签、黎润发、黄意成、邓强、陈卫明、高宏华、钟楚婷、黎艳君、刘琼玮,006147、050007、120282
2257,春砂仁道地药材国际标准,标准,2020-06-16,药学院,何国振、杨得坡（006147）、魏平、赵志敏（120282）、何卓航、徐杰、廖炫、李明晓、钟镜堂、曹晖、李泳雪、梅全喜、林励、姜涛、王艳慧、段俊、邵鹏柱、姜志宏、张英、吴孟华、马志国,006147、120282
2258,巴戟天道地药材国际标准,标准,2020-06-16,药学院,丁平、杨得坡（006147）、魏平、赵志敏（120282）、杨丽、徐新军（050007）、冯冲、黎阳新、黎润南、曹晖、李泳雪、梅全喜、廖炫、林励、姜涛、王艳慧、段俊、邵鹏柱、姜志宏、张英、吴孟华、马志国,006147、120282、050007
2259,SF T 0117-2021 生物学全同胞关系鉴定技术规范,标准,2021-11-17,中山医学院,孙宏钰（012082）,012082
2260,一次性使用胆红素血浆吸附器,医疗器械注册证书,2019-03-06,,凌莉（014081）,014081
2261,一次性使用电子输尿管肾盂内窥镜导管,医疗器械注册证书,2020-06-05,,凌莉（014081）,014081
2262,蛋白A免疫吸附柱及其配套溶液,医疗器械注册证书,2019-11-22,,凌莉（014081）,014081
2263,城市道路交通标志和标线的数字化模型信息表达规范 第 1 部分：指示和禁令类,标准,2021-10-28,智能工程学院,何兆成（050123）、刘化龙、陈锐祥（004208）、沙志仁、栾学晨、许焕挺（21111565）、朱凤华、岳浩、陈升东、林培群、刘燕、韦清波、顾维鑫,050123
2264,数字图像元数据检验技术规范,标准,2020-05-29,计算机学院（软件学院）,曾锦华、施少陪、卢启蒙、李岩、卞新伟、奚建华、高峰、卢伟（070147）、张翠玲,070147
2265,人像鉴定中人脸识别技术检验规范,标准,2021-11-17,计算机学院（软件学院）,曾锦华、施少陪、卢启蒙、李岩、卞新伟、奚建华、耿浦洋、高峰、卢伟（070147）、朱栋涛,070147
2266,信息技术 云计算 云际计算参考架构,标准,2021-10-11,计算机学院（软件学院）,王怀民、史佩昌、陈志峰、沃天宇、王意洁、罗彦林、尹浩、赵华、姜泽勋、杨丽蕴、智晓欢、刘峤、吴涛、韩义亭、王非、尹刚、苏昕、王志鹏、王泽胜、饶通宇、易晶晶、邓明鉴、梁钢、万海（006760）、符海芳、殷建民、林胤、刘伟、于丽芳、温武少（090022）,006760、090022
2267,物联位置网智能驾驶地图技术规范,标准,2021-12-01,,曹红杰、景贵飞、岳浩、刘化龙、夏林元（070014）、陈定安（180147）、王韬、李耀忠、肖计划、刘育财、陈本强、吴超宇、刘杨、许祥滨、姚望桥,070014、180147
2268,物联位置网三维模型技术规范,标准,2021-12-01,,曹红杰、景贵飞、岳浩、刘化龙、夏林元（070014）、陈定安（180147）、王韬、李耀忠、肖计划、刘育财、陈本强、吴超宇、张沁南、刘杨、许祥滨、姚望桥,070014、180147
2269,物联位置网室内消防地图技术规范,标准,2021-12-01,,曹红杰、景贵飞、岳浩、刘化龙、夏林元（070014）、陈定安（180147）、王韬、李耀忠、肖计划、刘育财、陈本强、吴超宇、张沁南、刘杨、许祥滨、姚望桥,070014、180147
